store_id,store_name,region,date,transactions,revenue,avg_basket_value,discount_pct,footfall,stockout_flag,transactions_error,discount_error,transactions_clean,discount_pct_clean
ST-10,MAGNOLIA SQUARE,SOUTH,2026-03-07,75,,47.71,38.71096522,374,False,False,False,75.0,38.71096522
ST-13,HIGHLAND COURT,WEST,2026-05-27,60,4040.14,67.12,15.55684393,528,False,False,False,60.0,15.55684393
ST-16,REDWOOD STATION,WEST,2026-05-24,74,7132.47,105.29,5.214770493,576,True,False,False,74.0,5.214770493
ST-14,GOLDEN VALLEY,WEST,2026-04-20,49,9117.12,167.74,4.864324242,725,True,False,False,49.0,4.864324242
ST-04,SILVERLINE MALL,NORTH,2026-03-04,-52,2733.73,2796.6,7.926849185,642,False,True,False,,7.926849185
ST-12,BAYFRONT COMMONS,SOUTH,2026-05-05,48,5827.13,123.07,0.3279304085,768,False,False,False,48.0,0.3279304085
ST-08,PALM TERRACE,SOUTH,2026-05-20,70,6733.38,86.73,25.27430694,792,False,False,False,70.0,25.27430694
ST-11,WILLOW CREEK,SOUTH,2026-03-02,50,8701.5,184.43,38.45936978,534,True,False,False,50.0,38.45936978
ST-18,ASHBROOK PLAZA,WEST,2026-03-03,62,4037.4,61.66,11.45260115,966,False,False,False,62.0,11.45260115
ST-01,RIVERSIDE PLAZA,NORTH,2026-05-05,51,3676.65,75.91,30.50360368,622,False,False,False,51.0,30.50360368
ST-18,ASHBROOK PLAZA,WEST,2026-05-06,70,2213.0,33.37,34.06381574,681,False,False,False,70.0,34.06381574
ST-04,SILVERLINE MALL,NORTH,2026-05-14,58,5060.62,79.53,24.64348968,473,False,False,False,58.0,24.64348968
ST-05,EASTGATE CENTER,NORTH,2026-02-05,42,3759.46,98.04,0.2200469616,591,True,False,False,42.0,0.2200469616
ST-18,ASHBROOK PLAZA,WEST,2026-04-14,70,2214.96,33.6,29.58100502,756,False,False,False,70.0,29.58100502
ST-17,SUMMIT CORNER,WEST,2026-04-24,50,5645.34,106.08,3.413050137,940,True,False,False,50.0,3.413050137
ST-15,PINECREST MALL,WEST,2026-05-23,86,3492.18,43.34,3.585400077,522,True,False,False,86.0,3.585400077
ST-04,SILVERLINE MALL,NORTH,2026-05-22,50,3341.0,65.17,13.31299449,625,True,False,False,50.0,13.31299449
ST-05,EASTGATE CENTER,NORTH,2026-04-23,43,8393.06,179.0,12.99026575,530,False,False,False,43.0,12.99026575
ST-03,MAPLE JUNCTION,NORTH,2026-04-27,87,3248.87,34.31,2.92165099,547,False,False,False,87.0,2.92165099
ST-06,CEDAR CROSSING,NORTH,2026-04-17,68,5400.0,82.39,8.019766097,456,False,False,False,68.0,8.019766097
ST-02,HARBOR POINT,NORTH,2026-04-04,59,5365.36,89.55,37.20422077,589,False,False,False,59.0,37.20422077
ST-15,PINECREST MALL,WEST,2026-05-02,75,1711.58,24.15,7.722877243,478,True,False,False,75.0,7.722877243
ST-14,GOLDEN VALLEY,WEST,2026-04-23,63,8892.93,147.19,23.74618088,278,True,False,False,63.0,23.74618088
ST-09,CORAL BAY OUTLET,SOUTH,2026-04-14,77,13995.56,175.07,1.397771109,374,False,False,False,77.0,1.397771109
ST-13,HIGHLAND COURT,WEST,2026-03-04,70,4064.5,60.18,31.85310173,714,False,False,False,70.0,31.85310173
ST-04,SILVERLINE MALL,NORTH,,62,3109.67,46.17,32.87481852,459,True,False,False,62.0,32.87481852
ST-04,SILVERLINE MALL,NORTH,2026-03-02,53,2200.0,40.78,7.508636898,636,False,False,False,53.0,7.508636898
ST-03,MAPLE JUNCTION,NORTH,2026-05-11,57,10522.93,202.91,11.80240361,729,False,False,False,57.0,11.80240361
ST-15,PINECREST MALL,WEST,2026-05-19,56,5365.0,100.73,16.11830808,552,False,False,False,56.0,16.11830808
ST-02,HARBOR POINT,NORTH,2026-05-18,41,3074.0,76.89,14.13158198,808,True,False,False,41.0,14.13158198
ST-11,WILLOW CREEK,SOUTH,2026-03-19,50,4536.3,95.34,6.14558664,727,True,False,False,50.0,6.14558664
ST-15,PINECREST MALL,WEST,2026-04-24,67,3878.63,61.37,7.51098163,662,False,False,False,67.0,7.51098163
ST-18,ASHBROOK PLAZA,WEST,2026-04-23,56,2602.01,42.09,32.72849538,757,False,False,False,56.0,32.72849538
ST-08,PALM TERRACE,SOUTH,2026-04-20,60,8624.87,156.15,17.36386505,687,False,False,False,60.0,17.36386505
ST-01,RIVERSIDE PLAZA,NORTH,2026-03-30,64,3017.27,42.77,16.73600177,652,True,False,False,64.0,16.73600177
ST-13,HIGHLAND COURT,WEST,2026-05-23,51,7817.79,157.22,27.23866793,594,False,False,False,51.0,27.23866793
ST-02,HARBOR POINT,NORTH,2026-05-23,51,,76.17,6.474774425,726,False,False,False,51.0,6.474774425
ST-17,SUMMIT CORNER,WEST,2026-03-14,45,,203.46,11.4314923,712,False,False,False,45.0,11.4314923
ST-01,RIVERSIDE PLAZA,NORTH,,75,5656.61,78.99,35.45611547,483,False,False,False,75.0,35.45611547
ST-11,WILLOW CREEK,SOUTH,2026-03-17,94,5820.11,65.3,0.02765023655,705,True,False,False,94.0,0.02765023655
ST-07,SUNSET BOULEVARD,SOUTH,2026-04-18,36,3837.67,114.76,1.507587829,505,False,False,False,36.0,1.507587829
ST-12,BAYFRONT COMMONS,SOUTH,,52,5648.15,117.49,,573,False,False,False,52.0,
ST-18,ASHBROOK PLAZA,WEST,2026-03-23,62,2619.0,39.92,33.04850054,428,False,False,False,62.0,33.04850054
ST-04,SILVERLINE MALL,NORTH,2026-03-20,84,2739.81,32.37,32.59101394,766,False,False,False,84.0,32.59101394
ST-08,PALM TERRACE,SOUTH,2026-05-16,73,2767.15,41.57,3.785756492,563,True,False,False,73.0,3.785756492
ST-08,PALM TERRACE,SOUTH,2026-03-07,54,2863.6,48.06,30.76813126,449,False,False,False,54.0,30.76813126
ST-11,WILLOW CREEK,SOUTH,2026-05-18,71,14158.45,183.9,38.09965516,586,False,False,False,71.0,38.09965516
ST-17,SUMMIT CORNER,WEST,2026-03-26,50,4993.88,103.8,6.3691129,933,False,False,False,50.0,6.3691129
ST-13,HIGHLAND COURT,WEST,2026-04-28,47,4733.31,98.99,29.51359284,481,False,False,False,47.0,29.51359284
ST-17,SUMMIT CORNER,WEST,2026-03-21,41,3065.13,71.09,33.89054482,446,False,False,False,41.0,33.89054482
ST-08,PALM TERRACE,SOUTH,2026-05-15,70,4570.67,65.34,4.729669216,719,False,False,False,70.0,4.729669216
ST-11,WILLOW CREEK,SOUTH,2026-03-16,40,5189.33,126.38,24.98208922,540,False,False,False,40.0,24.98208922
ST-03,MAPLE JUNCTION,NORTH,2026-05-21,81,7516.22,93.0,32.46386978,472,True,False,False,81.0,32.46386978
ST-10,MAGNOLIA SQUARE,SOUTH,2026-04-04,57,4808.37,87.76,9.995167182,347,True,False,False,57.0,9.995167182
