store_id,store_name,region,date,transactions,revenue,avg_basket_value,discount_pct,footfall,stockout_flag
ST-10,MAGNOLIA SQUARE,South,07/03/2026,75,,47.71,38.71096522,374,no
ST-13,Highland Court,WEST,27/05/2026,60,4040.14,67.12,15.55684393,528,no
ST-16,Redwood Station,West,2026-05-24,74,"$7,132.47",105.29,5.214770493,576,Y
ST-14,Golden Valley,West,2026-04-20,49,"$9,117.12",167.74,4.864324242,725,yes
ST-04,Silverline Mall,North,04/03/2026,-52,"$2,733.73",2796.6,7.926849185,642,N
ST-12,Bayfront Commons,South,05/05/2026,48,5827.13,123.07,0.3279304085,768,N
ST-08,Palm Terrace,South,"May 20, 2026",70,"$6,733.38",86.73,25.27430694,792,0
ST-11,Willow Creek,South,"March 2, 2026",50,8701.5,184.43,38.45936978,534,Y
ST-18,ASHBROOK PLAZA,west,3-Mar-26,62,4037.4,61.66,11.45260115,966,N
ST-01,Riverside Plaza,North,05/05/2026,51,"$3,676.65",75.91,30.50360368,622,N
ST-18,Ashbrook Plaza,West,06/05/2026,70,"INR 2,213",33.37,34.06381574,681,0
ST-04,Silverline Mall,NORTH,14-May-26,58,5060.62,79.53,24.64348968,473,N
ST-05,Eastgate Center,North,05/02/2026,42,3759.46,98.04,0.2200469616,591,Y
ST-18,ASHBROOK PLAZA,WEST,2026-04-14,70,"$2,214.96",33.6,29.58100502,756,0
ST-17,Summit Corner,west,20260424,50,5645.34,106.08,3.413050137,940,Y
ST-15,Pinecrest Mall,West,2026-05-23,86,3492.18,43.34,3.585400077,522,Y
ST-04,Silverline Mall,North,"May 22, 2026",50,"INR 3,341",65.17,13.31299449,625,TRUE
ST-05,Eastgate Center,North,20260423,43,8393.06,179,12.99026575,530,0
ST-03,MAPLE JUNCTION,North,"April 27, 2026",87,"$3,248.87",34.31,2.92165099,547,no
ST-06,Cedar Crossing,North,"April 17, 2026",68,"INR 5,400",82.39,8.019766097,456,N
ST-02,Harbor Point,North,2026-04-04,59,"$5,365.36",89.55,37.20422077,589,no
ST-15,pinecrest mall,West,2026-05-02,75,1711.58,24.15,7.722877243,478,1
ST-14,Golden Valley,West,2026-04-23,63,"$8,892.93",147.19,23.74618088,278,Y
ST-09,Coral Bay Outlet,South,2026-04-14,77,13995.56,175.07,1.397771109,374,N
ST-13,Highland Court,WEST,04/03/2026,70,"$4,064.50",60.18,31.85310173,714,N
ST-04,Silverline Mall,North,04/16/2026,62,3109.67,46.17,32.87481852,459,yes
ST-04,silverline mall,North,2-Mar-26,53,"INR 2,200",40.78,7.508636898,636,no
ST-03,Maple Junction,NORTH,"May 11, 2026",57,10522.93,202.91,11.80240361,729,0
ST-15,Pinecrest Mall,WEST,19/05/2026,56,"INR 5,365",100.73,16.11830808,552,0
ST-02,Harbor Point,North,18-May-26,41,"INR 3,074",76.89,14.13158198,808,Y
ST-11,willow creek,South,19/03/2026,50,"$4,536.30",95.34,6.14558664,727,yes
ST-15,PINECREST MALL,WEST,"April 24, 2026",67,"$3,878.63",61.37,7.51098163,662,N
ST-18,ashbrook plaza,West,23-Apr-26,56,2602.01,42.09,32.72849538,757,N
ST-08,Palm Terrace,South,"April 20, 2026",60,8624.87,156.15,17.36386505,687,0
ST-01,Riverside Plaza,North,30/03/2026,64,3017.27,42.77,16.73600177,652,yes
ST-13,Highland Court,west,23-May-26,51,"$7,817.79",157.22,27.23866793,594,N
ST-02,Harbor Point,NORTH,2026-05-23,51,,76.17,6.474774425,726,N
ST-17,Summit Corner,WEST,2026-03-14,45,,203.46,11.4314923,712,no
ST-01,riverside plaza,NORTH,03/31/2026,75,5656.61,78.99,35.45611547,483,N
